country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Ethiopia,ETH,1974-01-01,4057214516.9082108,0.419933629166884,848.0,4345300.0,812.1,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1975-01-01,4057214516.9082108,0.40979405264,848.0,3808710.0,853.1,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1976-01-01,4057214516.9082108,0.39957684197701,848.0,4708090.0,1063.7,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1977-01-01,4057214516.9082108,0.392857151471487,848.0,4380120.0,1035.5,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1978-01-01,4057214516.9082108,0.387139705143018,848.0,3997360.0,897.3,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1979-01-01,4057214516.9082108,0.382754554706184,848.0,5203770.0,1124.2,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1980-01-01,4057214516.9082108,0.377593990841429,848.0,6403227.0,1260.7,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1981-01-01,4009588743.9613495,0.362565025187506,848.0,5610377.0,1190.7,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1982-01-01,4104840289.85507,0.343312183304729,848.0,5393494.0,1165.0,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1983-01-01,4658969855.07246,0.328556745340198,848.0,6718279.0,1335.8,28.110000000000007,77.70823317531635,10.55053319919515
Ethiopia,ETH,1984-01-01,3877987826.08696,0.30979156655451,848.0,5516819.0,1169.8,25.92,77.70823317531635,9.639744260974652
Ethiopia,ETH,1985-01-01,4984878792.270531,0.297423812819674,848.0,4239874.0,880.6,28.299999999999997,77.57421100137495,12.600277460169801
Ethiopia,ETH,1986-01-01,5021443719.80676,0.282667216665591,848.0,4819987.0,965.6,28.299999999999997,77.57421100137495,12.600277460169801
Ethiopia,ETH,1987-01-01,5171530869.565219,0.266132586453818,848.0,5707736.0,1152.9,25.92,77.70823317531635,9.639744260974652
